Sub District Code,Granularity,Name,Type,villages_Inhabited,villages_Uninhabited,towns,households,Persons,Males,Females,Area,Density
0,INDIA,INDIA Whole,Rural,"5,97,608","43,324",0,"16,86,12,897","1,21,08,54,977","62,32,70,258","58,75,84,719",3101473.97,279
0,INDIA,INDIA Whole,Urban,"5,97,608","43,324","7,933","8,08,88,766","83,37,48,852","42,77,81,058","40,59,67,794",102252.03,"3,685"
0,STATE,JAMMU & KASHMIR,Total,0,0,122,"21,19,718","37,71,06,125","19,54,89,200","18,16,16,925",222236,124
0,STATE,JAMMU & KASHMIR,Rural,"6,337",216,0,"15,53,433","1,25,41,302","66,40,662","59,00,640",220990.1,91
0,STATE,JAMMU & KASHMIR,Urban,"6,337",216,122,"5,66,285","91,08,060","47,74,477","43,33,583",1245.9,"2,755"
0,DISTRICT,Kupwara,Total,0,0,10,"1,13,929","34,33,242","18,66,185","15,67,057",2379,366
0,DISTRICT,Kupwara,Rural,353,9,0,"1,01,930","8,70,354","4,74,190","3,96,164",2331.66,328
0,DISTRICT,Kupwara,Urban,353,9,10,"11,999","7,65,625","4,12,038","3,53,587",47.34,"2,212"
1,SUB-DISTRICT,Kupwara,Total,0,0,7,"63,022","1,04,729","62,152","42,577",301.94,"1,791"
1,SUB-DISTRICT,Kupwara,Rural,118,4,0,"56,014","5,40,914","2,97,837","2,43,077",275.03,"1,692"
1,SUB-DISTRICT,Kupwara,Urban,118,4,7,"7,008","4,65,323","2,52,856","2,12,467",26.91,"2,809"
2,SUB-DISTRICT,Handwara,Total,0,0,1,"39,485","75,591","44,981","30,610",291.47,924
2,SUB-DISTRICT,Handwara,Rural,196,3,0,"37,474","2,69,311","1,41,882","1,27,429",282.97,904
2,SUB-DISTRICT,Handwara,Urban,196,3,1,"2,011","2,55,711","1,34,503","1,21,208",8.5,"1,600"
3,SUB-DISTRICT,Karnah,Total,0,0,2,"11,422","13,600","7,379","6,221",69.89,860
3,SUB-DISTRICT,Karnah,Rural,39,2,0,"8,442","60,129","34,471","25,658",57.96,769
3,SUB-DISTRICT,Karnah,Urban,39,2,2,"2,980","44,591","24,679","19,912",11.93,"1,302"
0,DISTRICT,Badgam,Total,0,0,9,"1,03,363","15,538","9,792","5,746",1361,554
0,DISTRICT,Badgam,Rural,462,12,0,"89,417","7,53,745","3,98,041","3,55,704",1311.95,500
0,DISTRICT,Badgam,Urban,462,12,9,"13,946","6,55,833","3,43,385","3,12,448",49.05,"1,996"
4,SUB-DISTRICT,Khag,Total,0,0,0,"8,799","97,912","54,656","43,256",61.12,"1,106"
4,SUB-DISTRICT,Khag,Rural,49,0,0,"8,799","67,596","34,457","33,139",61.12,"1,106"
4,SUB-DISTRICT,Khag,Urban,49,0,0,0,"67,596","34,457","33,139",0,0
5,SUB-DISTRICT,Beerwah,Total,0,0,2,"20,914",0,0,0,134.07,"1,218"
5,SUB-DISTRICT,Beerwah,Rural,102,2,0,"19,161","1,63,333","87,277","76,056",126.77,"1,181"
5,SUB-DISTRICT,Beerwah,Urban,102,2,2,"1,753","1,49,671","80,103","69,568",7.3,"1,872"
6,SUB-DISTRICT,Khansahib,Total,0,0,1,"16,432","13,662","7,174","6,488",125.91,979
6,SUB-DISTRICT,Khansahib,Rural,96,3,0,"16,080","1,23,312","64,227","59,085",121.61,992
6,SUB-DISTRICT,Khansahib,Urban,96,3,1,352,"1,20,682","62,783","57,899",4.3,612
7,SUB-DISTRICT,Budgam,Total,0,0,2,"19,774","2,630","1,444","1,186",146.16,916
7,SUB-DISTRICT,Budgam,Rural,95,2,0,"16,517","1,33,855","70,182","63,673",131.44,845
7,SUB-DISTRICT,Budgam,Urban,95,2,2,"3,257","1,11,056","57,359","53,697",14.72,"1,549"
8,SUB-DISTRICT,Chadoora,Total,0,0,3,"30,390","22,799","12,823","9,976",194.67,"1,090"
8,SUB-DISTRICT,Chadoora,Rural,104,4,0,"23,904","2,12,233","1,13,529","98,704",172.74,955
8,SUB-DISTRICT,Chadoora,Urban,104,4,3,"6,486","1,64,945","86,218","78,727",21.93,"2,156"
9,SUB-DISTRICT,Charar- E- Shrief,Total,0,0,1,"7,054","47,288","27,311","19,977",58.85,908
9,SUB-DISTRICT,Charar- E- Shrief,Rural,16,1,0,"4,956","53,416","28,369","25,047",58.05,721
9,SUB-DISTRICT,Charar- E- Shrief,Urban,16,1,1,"2,098","41,883","22,465","19,418",0.8,"14,416"
0,DISTRICT,Leh(Ladakh),Total,0,0,3,"21,909","11,533","5,904","5,629",45110,3
0,DISTRICT,Leh(Ladakh),Rural,111,1,0,"14,905","1,33,487","78,971","54,516",45085.99,2
0,DISTRICT,Leh(Ladakh),Urban,111,1,3,"7,004","87,816","48,411","39,405",24.01,"1,902"
10,SUB-DISTRICT,Leh,Total,0,0,3,"15,497","45,671","30,560","15,111",171.06,549
10,SUB-DISTRICT,Leh,Rural,60,1,0,"8,493","93,961","56,597","37,364",147.05,328
10,SUB-DISTRICT,Leh,Urban,60,1,3,"7,004","48,290","26,037","22,253",24.01,"1,902"
11,SUB-DISTRICT,Nubra,Total,0,0,0,"3,606","45,671","30,560","15,111",166.82,134
11,SUB-DISTRICT,Nubra,Rural,28,0,0,"3,606","22,433","13,740","8,693",166.82,134
11,SUB-DISTRICT,Nubra,Urban,28,0,0,0,"22,433","13,740","8,693",0,0
12,SUB-DISTRICT,Khalsi,Total,0,0,0,"2,806",0,0,0,56.01,305
12,SUB-DISTRICT,Khalsi,Rural,23,0,0,"2,806","17,093","8,634","8,459",56.01,305
12,SUB-DISTRICT,Khalsi,Urban,23,0,0,0,"17,093","8,634","8,459",0,0
0,DISTRICT,Kargil,Total,0,0,1,"18,338",0,0,0,14036,10
0,DISTRICT,Kargil,Rural,125,2,0,"16,147","1,40,802","77,785","63,017",14033.86,9
0,DISTRICT,Kargil,Urban,125,2,1,"2,191","1,24,464","67,703","56,761",2.14,"7,635"
13,SUB-DISTRICT,Kargil,Total,0,0,1,"10,867","16,338","10,082","6,256",84.16,"1,027"
13,SUB-DISTRICT,Kargil,Rural,64,2,0,"8,676","86,461","49,431","37,030",82.02,855
13,SUB-DISTRICT,Kargil,Urban,64,2,1,"2,191","70,123","39,349","30,774",2.14,"7,635"
14,SUB-DISTRICT,Sanku,Total,0,0,0,"5,144","16,338","10,082","6,256",60.49,670
14,SUB-DISTRICT,Sanku,Rural,36,0,0,"5,144","40,548","21,346","19,202",60.49,670
14,SUB-DISTRICT,Sanku,Urban,36,0,0,0,"40,548","21,346","19,202",0,0
15,SUB-DISTRICT,Zanskar,Total,0,0,0,"2,327",0,0,0,43.11,320
15,SUB-DISTRICT,Zanskar,Rural,25,0,0,"2,327","13,793","7,008","6,785",43.11,320
15,SUB-DISTRICT,Zanskar,Urban,25,0,0,0,"13,793","7,008","6,785",0,0
0,DISTRICT,Punch,Total,0,0,3,"90,261",0,0,0,1674,285
0,DISTRICT,Punch,Rural,170,8,0,"83,045","4,76,835","2,51,899","2,24,936",1649.92,266
0,DISTRICT,Punch,Urban,170,8,3,"7,216","4,38,205","2,29,774","2,08,431",24.08,"1,604"
16,SUB-DISTRICT,Haveli,Total,0,0,1,"25,558","38,630","22,125","16,505",278.42,477
16,SUB-DISTRICT,Haveli,Rural,49,2,0,"20,615","1,32,767","71,538","61,229",268.06,395
16,SUB-DISTRICT,Haveli,Urban,49,2,1,"4,943","1,05,913","55,475","50,438",10.36,"2,592"
17,SUB-DISTRICT,Mandi,Total,0,0,0,"16,313","26,854","16,063","10,791",196.28,397
17,SUB-DISTRICT,Mandi,Rural,37,0,0,"16,313","77,947","41,365","36,582",196.28,397
17,SUB-DISTRICT,Mandi,Urban,37,0,0,0,"77,947","41,365","36,582",0,0
18,SUB-DISTRICT,Mendhar,Total,0,0,1,"25,334",0,0,0,424.69,333
18,SUB-DISTRICT,Mendhar,Rural,51,5,0,"24,428","1,41,366","73,297","68,069",415.84,328
18,SUB-DISTRICT,Mendhar,Urban,51,5,1,906,"1,36,333","70,776","65,557",8.85,569
19,SUB-DISTRICT,Surankote,Total,0,0,1,"23,056","5,033","2,521","2,512",250.23,499
19,SUB-DISTRICT,Surankote,Rural,33,1,0,"21,689","1,24,755","65,699","59,056",245.36,481
19,SUB-DISTRICT,Surankote,Urban,33,1,1,"1,367","1,18,012","62,158","55,854",4.87,"1,385"
0,DISTRICT,Rajouri,Total,0,0,4,"1,30,401","6,743","3,541","3,202",2630,244
0,DISTRICT,Rajouri,Rural,375,10,0,"1,22,645","6,42,415","3,45,351","2,97,064",2608.11,226
0,DISTRICT,Rajouri,Urban,375,10,4,"7,756","5,90,101","3,10,748","2,79,353",21.89,"2,390"
20,SUB-DISTRICT,Thanamandi,Total,0,0,1,"13,644","52,314","34,603","17,711",148.69,456
20,SUB-DISTRICT,Thanamandi,Rural,32,0,0,"12,673","67,773","35,472","32,301",144.51,431
20,SUB-DISTRICT,Thanamandi,Urban,32,0,1,971,"62,283","32,373","29,910",4.18,"1,313"
21,SUB-DISTRICT,Darhal,Total,0,0,0,"7,612","5,490","3,099","2,391",80.3,451
21,SUB-DISTRICT,Darhal,Rural,11,1,0,"7,612","36,227","19,121","17,106",80.3,451
21,SUB-DISTRICT,Darhal,Urban,11,1,0,0,"36,227","19,121","17,106",0,0
22,SUB-DISTRICT,Rajauri,Total,0,0,1,"36,640",0,0,0,593.49,319
22,SUB-DISTRICT,Rajauri,Rural,118,3,0,"32,276","1,89,067","1,03,307","85,760",580.6,275
22,SUB-DISTRICT,Rajauri,Urban,118,3,1,"4,364","1,59,581","84,130","75,451",12.89,"2,288"
23,SUB-DISTRICT,Budhal,Total,0,0,0,"23,676","29,486","19,177","10,309",468.25,263
23,SUB-DISTRICT,Budhal,Rural,51,1,0,"23,676","1,23,050","64,990","58,060",468.25,263
23,SUB-DISTRICT,Budhal,Urban,51,1,0,0,"1,23,050","64,990","58,060",0,0
24,SUB-DISTRICT,Kalakote,Total,0,0,0,"16,243",0,0,0,412.96,176
24,SUB-DISTRICT,Kalakote,Rural,68,1,0,"16,243","72,667","37,864","34,803",412.96,176
24,SUB-DISTRICT,Kalakote,Urban,68,1,0,0,"72,667","37,864","34,803",0,0
25,SUB-DISTRICT,Nowshehra,Total,0,0,1,"18,323",0,0,0,482.03,185
25,SUB-DISTRICT,Nowshehra,Rural,52,4,0,"17,040","89,416","50,146","39,270",477.4,165
25,SUB-DISTRICT,Nowshehra,Urban,52,4,1,"1,283","79,008","42,417","36,591",4.63,"2,248"
26,SUB-DISTRICT,Sunderbani,Total,0,0,1,"14,263","10,408","7,729","2,679",333.43,193
26,SUB-DISTRICT,Sunderbani,Rural,43,0,0,"13,125","64,215","34,451","29,764",333.24,172
26,SUB-DISTRICT,Sunderbani,Urban,43,0,1,"1,138","57,285","29,853","27,432",0.19,"36,474"
0,DISTRICT,Kathua,Total,0,0,6,"1,19,583","6,930","4,598","2,332",2502,246
0,DISTRICT,Kathua,Rural,496,16,0,"1,01,651","6,16,435","3,26,109","2,90,326",2458.84,214
0,DISTRICT,Kathua,Urban,496,16,6,"17,932","5,26,722","2,78,126","2,48,596",43.16,"2,079"
27,SUB-DISTRICT,Billawar,Total,0,0,1,"28,687","89,713","47,983","41,730",675.12,223
27,SUB-DISTRICT,Billawar,Rural,65,1,0,"27,785","1,50,882","79,699","71,183",668.77,218
27,SUB-DISTRICT,Billawar,Urban,65,1,1,902,"1,45,904","77,072","68,832",6.35,784
